Date,Time,Voltage,Current,Power Factor,Power,Energy,Frequency,Light bulb,Fan,Iron
11 08 2024,18:30:53,0,0,0,0,0,0,0,0,0
11 08 2024,18:30:57,0,0,0,0,0,0,0,0,0
11 08 2024,18:31:02,0,0,0,0,0,0,0,0,0
11 08 2024,18:31:05,252.8,0.47,1,118.2,0,50.1,0,1,0
11 08 2024,18:31:09,251.9,0.43,0.99,108.5,0,50.1,0,1,0
11 08 2024,18:31:13,252.7,0.43,0.99,109.1,0,50.1,0,1,0
11 08 2024,18:31:17,253.5,0.44,1,109.8,0,50.1,0,1,0
11 08 2024,18:31:21,253.9,0.44,1,110.2,0,50,0,1,0
11 08 2024,18:31:25,253.5,0.44,1,109.9,0,50,0,1,0
11 08 2024,18:31:30,252.1,0.43,0.99,108.6,0,50,0,1,0
11 08 2024,18:31:34,250.4,0.43,1,107.1,0,50,0,1,0
11 08 2024,18:31:37,250.2,0.43,1,106.9,0,50,0,1,0
11 08 2024,18:31:41,254.1,0.44,0.99,110.2,0,50,0,1,0
11 08 2024,18:31:45,253.6,0.44,1,109.8,0,50,0,1,0
11 08 2024,18:31:49,253.3,0.43,1,109.5,0,50,0,1,0
11 08 2024,18:31:53,253.7,0.44,1,109.9,0,50.1,0,1,0
11 08 2024,18:31:57,252.9,0.43,0.99,109.2,0,50.1,0,1,0
11 08 2024,18:32:01,254.3,0.44,1,110.4,0,50,0,1,0
11 08 2024,18:32:05,253.3,0.43,1,109.6,0,50.1,0,1,0
11 08 2024,18:32:10,0,0,0,0,0,0,0,0,0
11 08 2024,18:32:14,0,0,0,0,0,0,0,0,0
11 08 2024,18:32:18,0,0,0,0,0,0,0,0,0
11 08 2024,18:32:23,0,0,0,0,0,0,0,0,0
11 08 2024,18:32:27,255.5,0.47,1,120.4,0,50.1,0,1,0
11 08 2024,18:32:31,256.2,0.44,0.99,112.1,0,50.1,0,1,0
11 08 2024,18:32:35,255.4,0.44,1,111.4,0,50.1,0,1,0
11 08 2024,18:32:40,255.6,0.44,1,111.6,0,50.2,0,1,0
11 08 2024,18:32:43,254.8,0.44,1,110.9,0,50.2,0,1,0
11 08 2024,18:32:47,255,0.44,1,111,0,50.2,0,1,0
11 08 2024,18:32:51,255.6,0.44,1,111.5,0,50.2,0,1,0
11 08 2024,18:32:56,258.2,0.44,0.99,113.8,0,50.2,0,1,0
11 08 2024,18:32:59,256.6,0.44,0.99,112.3,0,50.2,0,1,0
11 08 2024,18:33:03,255.7,0.44,1,111.7,0,50.2,0,1,0
11 08 2024,18:33:07,255.2,0.44,0.99,111.2,0,50.1,0,1,0
11 08 2024,18:33:11,256.4,0.44,1,112.2,0,50.2,0,1,0
11 08 2024,18:33:14,256.7,0.44,1,112.4,0,50.2,0,1,0
11 08 2024,18:33:18,255.7,0.44,1,111.6,0,50.1,0,1,0
11 08 2024,18:33:22,255.7,0.44,1,111.6,0,50.1,0,1,0
11 08 2024,18:33:27,255.2,0.44,1,111,0,50.2,0,1,0
11 08 2024,18:33:31,0,0,0,0,0,0,0,0,0
11 08 2024,18:33:36,0,0,0,0,0,0,0,0,0
11 08 2024,18:33:41,0,0,0,0,0,0,0,0,0
11 08 2024,18:33:45,0,0,0,0,0,0,0,0,0
11 08 2024,18:33:49,255.5,0.47,1,120.6,0,50.2,0,1,0
11 08 2024,18:33:52,253.9,0.44,1,109.9,0,50.2,0,1,0
11 08 2024,18:33:56,253.4,0.43,1,109.5,0,50.2,0,1,0
11 08 2024,18:34:01,254.3,0.44,0.99,110.3,0,50.2,0,1,0
11 08 2024,18:34:05,255.2,0.44,1,111.1,0,50.2,0,1,0
11 08 2024,18:34:09,256.1,0.44,0.99,111.8,0,50.1,0,1,0
11 08 2024,18:34:12,254.7,0.44,1,110.6,0,50.1,0,1,0
11 08 2024,18:34:16,254.3,0.44,1,110.2,0,50.2,0,1,0
11 08 2024,18:34:21,253.6,0.43,1,109.6,0,50.2,0,1,0
