Date,Time,Voltage,Current,Power Factor,Power,Energy,Frequency,Light bulb,Fan,Iron
11 08 2024,15:46:21,0,0,0,0,0,0,0,0,0
11 08 2024,15:46:27,0,0,0,0,0,0,0,0,0
11 08 2024,15:46:31,241.3,7.81,1,1884.5,0.01,50.3,0,0,1
11 08 2024,15:46:35,241.3,7.81,1,1884.2,0.01,50.3,0,0,1
11 08 2024,15:46:39,241.5,7.81,1,1885.6,0.01,50.4,0,0,1
11 08 2024,15:46:43,241.4,7.79,1,1881.4,0.02,50.5,0,0,1
11 08 2024,15:46:47,241.4,7.78,1,1878.1,0.02,50.4,0,0,1
11 08 2024,15:46:51,242.2,7.8,1,1889.9,0.02,50.4,0,0,1
11 08 2024,15:46:55,242.3,7.8,1,1890.3,0.02,50.5,0,0,1
11 08 2024,15:46:58,242.2,7.79,1,1886.6,0.02,50.4,0,0,1
11 08 2024,15:47:03,256.7,0,0,0,0.02,50.4,0,0,0
11 08 2024,15:47:07,256.8,0,0,0,0.02,50.4,0,0,0
11 08 2024,15:47:11,256.8,0,0,0,0.02,50.5,0,0,0
11 08 2024,15:47:15,256.7,0,0,0,0.02,50.5,0,0,0
11 08 2024,15:47:19,257.7,0,0,0,0.02,50.4,0,0,0
11 08 2024,15:47:23,257.6,0,0,0,0.02,50.4,0,0,0
11 08 2024,15:47:27,257.6,0,0,0,0.02,50.4,0,0,0
11 08 2024,15:47:31,257.6,0,0,0,0.02,50.4,0,0,0
11 08 2024,15:47:36,0,0,0,0,0,0,0,0,0
11 08 2024,15:47:40,0,0,0,0,0,0,0,0,0
11 08 2024,15:47:45,0,0,0,0,0,0,0,0,0
11 08 2024,15:47:49,0,0,0,0,0,0,0,0,0
11 08 2024,15:47:53,257.9,0,0,0,0.02,50.4,0,0,0
11 08 2024,15:47:57,257.6,0,0,0,0.02,50.5,0,0,0
11 08 2024,15:48:01,257.6,0,0,0,0.02,50.4,0,0,0
11 08 2024,15:48:04,256.8,0,0,0,0.02,50.4,0,0,0
11 08 2024,15:48:08,256.7,0,0,0,0.02,50.5,0,0,0
11 08 2024,15:48:12,256.6,0,0,0,0.02,50.4,0,0,0
11 08 2024,15:48:18,256.4,0,0,0,0.02,50.4,0,0,0
11 08 2024,15:48:22,256.9,0,0,0,0.02,50.4,0,0,0
11 08 2024,15:48:28,257.2,0,0,0,0.02,50.4,0,0,0
11 08 2024,15:48:32,257.1,0,0,0,0.02,50.4,0,0,0
11 08 2024,15:48:36,257.2,0,0,0,0.02,50.4,0,0,0
11 08 2024,15:48:40,256.3,0,0,0,0.02,50.4,0,0,0
11 08 2024,15:48:44,256.6,0,0,0,0.02,50.4,0,0,0
11 08 2024,15:48:48,256.4,0,0,0,0.02,50.4,0,0,0
11 08 2024,15:48:52,256.3,0,0,0,0.02,50.4,0,0,0
11 08 2024,15:48:57,0,0,0,0,0,0,0,0,0
11 08 2024,15:49:01,0,0,0,0,0,0,0,0,0
11 08 2024,15:49:06,0,0,0,0,0,0,0,0,0
11 08 2024,15:49:10,0,0,0,0,0,0,0,0,0
11 08 2024,15:49:14,256.8,0,0,0,0.02,50.5,0,0,0
11 08 2024,15:49:18,256.8,0,0,0,0.02,50.5,0,0,0
11 08 2024,15:49:22,256.7,0,0,0,0.02,50.5,0,0,0
11 08 2024,15:49:27,257.6,0,1,0.4,0.02,50.4,0,0,0
11 08 2024,15:49:31,257.6,0,0,0,0.02,50.5,0,0,0
11 08 2024,15:49:35,257.5,0,0,0,0.02,50.5,0,0,0
11 08 2024,15:49:39,257,0,0,0,0.02,50.4,0,0,0
11 08 2024,15:49:43,256.4,0,0,0,0.02,50.4,0,0,0
11 08 2024,15:49:49,256.4,0,0,0,0.02,50.3,0,0,0
11 08 2024,15:49:53,256.4,0,0,0,0.02,50.3,0,0,0
11 08 2024,15:49:57,257.3,0,0,0,0.02,50.3,0,0,0
11 08 2024,15:50:01,256.4,0,0,0,0.02,50.3,0,0,0
11 08 2024,15:50:07,256.6,0,0,0,0.02,50.3,0,0,0
11 08 2024,15:50:10,256.6,0,0,0,0.02,50.3,0,0,0
11 08 2024,15:50:15,0,0,0,0,0,0,0,0,0
11 08 2024,15:50:20,0,0,0,0,0,0,0,0,0
11 08 2024,15:50:24,0,0,0,0,0,0,0,0,0
11 08 2024,15:50:29,0,0,0,0,0,0,0,0,0
11 08 2024,15:50:33,241.7,7.79,1,1883.6,0.03,50.3,0,0,1
11 08 2024,15:50:36,241.8,7.77,1,1879.2,0.03,50.3,0,0,1
11 08 2024,15:50:41,256.8,0,0,0,0.03,50.3,0,0,0
11 08 2024,15:50:45,256,0,0,0,0.03,50.3,0,0,0
11 08 2024,15:50:49,256,0,0,0,0.03,50.3,0,0,0
11 08 2024,15:50:53,256,0,0,0,0.03,50.3,0,0,0
11 08 2024,15:50:56,256.4,0,0,0,0.03,50.3,0,0,0
11 08 2024,15:51:00,256.9,0,1,0.4,0.03,50.3,0,0,0
11 08 2024,15:51:05,257.4,0,0,0,0.03,50.3,0,0,0
11 08 2024,15:51:08,257.5,0,0,0,0.03,50.4,0,0,0
11 08 2024,15:51:12,257.6,0,0,0,0.03,50.4,0,0,0
11 08 2024,15:51:16,256.5,0,0,0,0.03,50.4,0,0,0
11 08 2024,15:51:20,256.4,0,0,0,0.03,50.4,0,0,0
11 08 2024,15:51:24,256.5,0,1,0.4,0.03,50.4,0,0,0
11 08 2024,15:51:28,256.5,0,0,0,0.03,50.4,0,0,0
11 08 2024,15:51:32,256.4,0,0,0,0.03,50.3,0,0,0
