Date,Time,Voltage,Current,Power Factor,Power,Energy,Frequency,Light bulb
11 08 2024,13:04:16,0,0,0,0,0,0,0
11 08 2024,13:04:20,0,0,0,0,0,0,0
11 08 2024,13:04:25,0,0,0,0,0,0,0
11 08 2024,13:04:29,257,0.08,0.54,10.5,0,50.1,1
11 08 2024,13:04:33,257.5,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:04:37,255.9,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:04:41,256.3,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:04:44,256.4,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:04:48,257.8,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:04:52,254.6,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:04:56,253.7,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:05:00,254.7,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:05:03,256.2,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:05:07,256.3,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:05:11,254,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:05:15,254.9,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:05:19,257.6,0.08,0.54,10.5,0,50.1,1
11 08 2024,13:05:23,257.2,0.08,0.54,10.5,0,50.2,1
11 08 2024,13:05:27,254.8,0.08,0.55,10.5,0,50.1,1
11 08 2024,13:05:31,0,0,0,0,0,0,0
11 08 2024,13:05:35,0,0,0,0,0,0,0
11 08 2024,13:05:40,0,0,0,0,0,0,0
11 08 2024,13:05:45,0,0,0,0,0,0,0
11 08 2024,13:05:49,256.5,0.08,0.55,10.6,0,50.2,1
11 08 2024,13:05:53,256.7,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:05:57,255.5,0.08,0.55,10.6,0,50.1,1
11 08 2024,13:06:00,254.1,0.08,0.55,10.5,0,50.2,1
11 08 2024,13:06:04,255.2,0.08,0.55,10.5,0,50.1,1
